NAME,MASS,MASSUPPER,MASSLOWER,UMASS,R,RUPPER,RLOWER,UR,A,AUPPER,ALOWER,UA,PER,PERUPPER,PERLOWER,UPER,ECC,ECCUPPER,ECCLOWER,UECC,DENSITY,DENSITYUPPER,DENSITYLOWER,UDENSITY,MSTAR,MSTARUPPER,MSTARLOWER,UMSTAR,RSTAR,RSTARUPPER,RSTARLOWER,URSTAR,LOGG,LOGGUPPER,LOGGLOWER,ULOGG,TEFF,TEFFUPPER,TEFFLOWER,UTEFF,FE,FEUPPER,FELOWER,UFE,TRANSITREF,TRANSITURL
,mjupiter,mjupiter,mjupiter,mjupiter,rjupiter,rjupiter,rjupiter,rjupiter,au,au,au,au,day,day,day,day,,,,,g/cm^3,g/cm^3,g/cm^3,g/cm^3,msun,msun,msun,msun,rsun,rsun,rsun,rsun,,,,,k,k,k,k,,,,,,
WASP-64 b,1.27137,0.0760245,0.0760245,0.0760245,1.271,0.039,0.039,0.039,0.0265195,0.000441992,0.000441992,0.000441992,1.5732918,0.0000015,0.0000015,0.0000015,0,,,,0.820794,0.084864,0.06895200000000001,0.076908,1.004,0.028,0.028,0.028,1.058,0.025,0.025,0.025,4.392,0.016,0.016,0.016,5550,150,150,150,-0.08,0.11,0.11,0.11,Gillon 2013,http://adsabs.harvard.edu/abs/2013A%26A...552A..82G
WASP-97 b,1.32,0.05,0.05,0.05,1.13,0.06,0.06,0.06,0.0330527,0.000590228,0.000590228,0.000590228,2.07276,0.000001,0.000001,0.000001,0,,,,0.91,0.11,0.11,0.11,1.12,0.06,0.06,0.06,1.06,0.04,0.04,0.04,4.45,0.08,0.08,0.08,5640,100,100,100,0.23,0.11,0.11,0.11,Hellier 2013,http://adsabs.harvard.edu/abs/2014MNRAS.440.1982H
WASP-55 b,0.571173,0.0377848,0.0377848,0.0377848,1.3,0.05,0.03,0.04,0.0532575,0.000887624,0.000887624,0.000887624,4.465633,0.000004,0.000004,0.000004,0,,,,0.34476,0.02652,0.039779999999999996,0.03315,1.01,0.04,0.04,0.04,1.06,0.03,0.020000000000000004,0.025,4.3,0.1,0.1,0.1,5900,100,100,100,-0.2,0.08,0.08,0.08,Hellier 2012,http://adsabs.harvard.edu/abs/2012MNRAS.426..739H
Kepler-180 c,0.027035,0.0146614,0.0146614,0.0146614,0.268534,0.119547,0.119547,0.119547,0.236039,0.00393399,0.00393399,0.00393399,41.885775,0.000228,0.000228,0.000228,,,,,,,,,,,,,1.063,0.471,0.471,0.471,4.343,0.3,0.3,0.3,5731,200,200,200,,,,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R
Kepler-180 b,0.0117855,0.0102819,0.0102819,0.0102819,0.133821,0.0597734,0.0597734,0.0597734,0.11269,0.00187817,0.00187817,0.00187817,13.817124,0.000155,0.000155,0.000155,,,,,,,,,,,,,1.063,0.471,0.471,0.471,4.343,0.3,0.3,0.3,5731,200,200,200,,,,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R
Kepler-360 b,0.0122424,0.0104664,0.0104664,0.0104664,0.147203,0.0695869,0.0695869,0.0695869,0.0432887,0.000721479,0.000721479,0.000721479,3.289672,0.000012,0.000012,0.000012,,,,,,,,,,,,,1.058,0.501,0.501,0.501,4.423,0.3,0.3,0.3,6053,200,200,200,,,,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R
Kepler-360 c,0.0156092,0.0115156,0.0115156,0.0115156,0.187349,0.089214,0.089214,0.089214,0.0728812,0.00121469,0.00121469,0.00121469,7.186434,0.000029,0.000029,0.000029,,,,,,,,,,,,,1.058,0.501,0.501,0.501,4.423,0.3,0.3,0.3,6053,200,200,200,,,,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R
WASP-21 b,0.300272,0.0133766,0.0133766,0.0133766,1.07,0.06,0.06,0.06,0.0521087,0.000868478,0.000868478,0.000868478,4.322482,0.000019,0.000024,0.0000215,0,,,,0.3192,0.0665,0.0665,0.0665,1.01,0.03,0.03,0.03,1.06,0.04,0.04,0.04,4.2,0.1,0.1,0.1,5800,100,100,100,-0.46,0.11,0.11,0.11,Bouchy 2010,http://adsabs.harvard.edu/abs/2010A&A...519A..98B
Kepler-218 b,0.0112762,0.002769,0.002769,0.002769,0.132037,0.0107057,0.0107057,0.0107057,0.0461345,0.000768908,0.000768908,0.000768908,3.619337,0.000011,0.000011,0.000011,,,,,,,,,,,,,1.063,0.083,0.083,0.083,4.391,0.06,0.06,0.06,5502,74,74,74,,,,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R
Kepler-218 c,0.029411,0.00453463,0.00453463,0.00453463,0.280132,0.0231956,0.0231956,0.0231956,0.246495,0.00410826,0.00410826,0.00410826,44.699576,0.000167,0.000167,0.000167,,,,,,,,,,,,,1.063,0.083,0.083,0.083,4.391,0.06,0.06,0.06,5502,74,74,74,,,,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R
