NAME,MASS,MASSUPPER,MASSLOWER,UMASS,R,RUPPER,RLOWER,UR,A,AUPPER,ALOWER,UA,PER,PERUPPER,PERLOWER,UPER,ECC,ECCUPPER,ECCLOWER,UECC,DENSITY,DENSITYUPPER,DENSITYLOWER,UDENSITY,MSTAR,MSTARUPPER,MSTARLOWER,UMSTAR,RSTAR,RSTARUPPER,RSTARLOWER,URSTAR,LOGG,LOGGUPPER,LOGGLOWER,ULOGG,TEFF,TEFFUPPER,TEFFLOWER,UTEFF,FE,FEUPPER,FELOWER,UFE,TRANSITREF,TRANSITURL
,mjupiter,mjupiter,mjupiter,mjupiter,rjupiter,rjupiter,rjupiter,rjupiter,au,au,au,au,day,day,day,day,,,,,g/cm^3,g/cm^3,g/cm^3,g/cm^3,msun,msun,msun,msun,rsun,rsun,rsun,rsun,,,,,k,k,k,k,,,,,,
Kepler-230 c,0.0151,0.0121842,0.0121842,0.0121842,0.181997,0.0927826,0.0927826,0.0927826,0.398184,0.0066364,0.0066364,0.0066364,91.773242,0.001618,0.001618,0.001618,,,,,,,,,,,,,0.817,0.415,0.415,0.415,4.551,0.3,0.3,0.3,5588,200,200,200,,,,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R
Kepler-230 b,0.0596201,0.0440972,0.0440972,0.0440972,0.380052,0.193594,0.193594,0.193594,0.199823,0.00333038,0.00333038,0.00333038,32.625555,0.000126,0.000126,0.000126,,,,,,,,,,,,,0.817,0.415,0.415,0.415,4.551,0.3,0.3,0.3,5588,200,200,200,,,,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R
Kepler-221 e,0.0212781,0.00296419,0.00296419,0.00296419,0.234633,0.0223035,0.0223035,0.0223035,0.136253,0.00227088,0.00227088,0.00227088,18.369917,0.000029,0.000029,0.000029,,,,,,,,,,,,,0.821,0.075,0.075,0.075,4.543,0.15,0.15,0.15,5243,100,100,100,,,,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R
Kepler-221 b,0.0126401,0.00109851,0.00109851,0.00109851,0.152556,0.0151664,0.0151664,0.0151664,0.0388408,0.000647347,0.000647347,0.000647347,2.795906,0.000004,0.000004,0.000004,,,,,,,,,,,,,0.821,0.075,0.075,0.075,4.543,0.15,0.15,0.15,5243,100,100,100,,,,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R
Kepler-221 d,0.022635,0.00320443,0.00320443,0.00320443,0.243554,0.0223035,0.0223035,0.0223035,0.0910907,0.00151818,0.00151818,0.00151818,10.04156,0.000011,0.000011,0.000011,,,,,,,,,,,,,0.821,0.075,0.075,0.075,4.543,0.15,0.15,0.15,5243,100,100,100,,,,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R
Kepler-221 c,0.0256819,0.00400766,0.00400766,0.00400766,0.261397,0.0240878,0.0240878,0.0240878,0.0623799,0.00103966,0.00103966,0.00103966,5.690586,0.000004,0.000004,0.000004,,,,,,,,,,,,,0.821,0.075,0.075,0.075,4.543,0.15,0.15,0.15,5243,100,100,100,,,,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R
Qatar-1 b,1.08979,0.0850223,0.0850223,0.0850223,1.164,0.045,0.045,0.045,0.0234308,0.000390514,0.000390514,0.000390514,1.420033,0.000016,0.000016,0.000016,0,,,,0.9177,0.13034,0.11171999999999999,0.12103,0.85,0.03,0.03,0.03,0.823,0.025,0.025,0.025,4.536,0.024,0.024,0.024,4861,125,125,125,0.2,0.1,0.1,0.1,Alsubai 2011,http://adsabs.harvard.edu/abs/2011MNRAS.417..709A
Kepler-292 b,0.00769114,0.0024569,0.0024569,0.0024569,0.117763,0.01249,0.01249,0.01249,0.0368224,0.000613707,0.000613707,0.000613707,2.580827,0.00002,0.00002,0.00002,,,,,,,,,,,,,0.826,0.073,0.073,0.073,4.536,0.15,0.15,0.15,5299,100,100,100,,,,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R
Kepler-292 d,0.0167934,0.00185832,0.00185832,0.00185832,0.198947,0.0187349,0.0187349,0.0187349,0.0719945,0.00119991,0.00119991,0.00119991,7.055679,0.000043,0.000043,0.000043,,,,,,,,,,,,,0.826,0.073,0.073,0.073,4.536,0.15,0.15,0.15,5299,100,100,100,,,,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R
Kepler-292 c,0.0110268,0.00333568,0.00333568,0.00333568,0.131145,0.0133821,0.0133821,0.0133821,0.0469467,0.000782445,0.000782445,0.000782445,3.715335,0.000033,0.000033,0.000033,,,,,,,,,,,,,0.826,0.073,0.073,0.073,4.536,0.15,0.15,0.15,5299,100,100,100,,,,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R
Kepler-292 e,0.0218083,0.00412382,0.00412382,0.00412382,0.238201,0.0312249,0.0312249,0.0312249,0.10246,0.00170766,0.00170766,0.00170766,11.97901,0.000101,0.000101,0.000101,,,,,,,,,,,,,0.826,0.073,0.073,0.073,4.536,0.15,0.15,0.15,5299,100,100,100,,,,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R
Kepler-292 f,0.0179955,0.00212311,0.00212311,0.00212311,0.209653,0.0196271,0.0196271,0.0196271,0.148181,0.00246968,0.00246968,0.00246968,20.834237,0.000184,0.000184,0.000184,,,,,,,,,,,,,0.826,0.073,0.073,0.073,4.536,0.15,0.15,0.15,5299,100,100,100,,,,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R
Kepler-357 d,0.0355742,0.0264204,0.0264204,0.0264204,0.306004,0.181997,0.181997,0.181997,0.263841,0.00439735,0.00439735,0.00439735,49.499875,0.00046,0.00046,0.00046,,,,,,,,,,,,,0.834,0.487,0.487,0.487,4.503,0.3,0.3,0.3,5036,200,200,200,,,,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R
Kepler-246 c,0.0117855,0.0107813,0.0107813,0.0107813,0.133821,0.0678027,0.0678027,0.0678027,0.0978933,0.00163156,0.00163156,0.00163156,11.187161,0.000075,0.000075,0.000075,,,,,,,,,,,,,0.831,0.422,0.422,0.422,4.557,0.3,0.3,0.3,5206,200,200,200,,,,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R
Kepler-357 b,0.0135483,0.0124457,0.0124457,0.0124457,0.164154,0.0963511,0.0963511,0.0963511,0.0679912,0.00113319,0.00113319,0.00113319,6.475434,0.000034,0.000034,0.000034,,,,,,,,,,,,,0.834,0.487,0.487,0.487,4.503,0.3,0.3,0.3,5036,200,200,200,,,,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R
Kepler-151 b,0.0279223,0.0153466,0.0153466,0.0153466,0.272995,0.136497,0.136497,0.136497,0.120241,0.00200402,0.00200402,0.00200402,15.228958,0.00003,0.00003,0.00003,,,,,,,,,,,,,0.83,0.411,0.411,0.411,4.555,0.3,0.3,0.3,5460,200,200,200,,,,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R
Kepler-151 c,0.0155228,0.0120513,0.0120513,0.0120513,0.186457,0.0927826,0.0927826,0.0927826,0.165872,0.00276454,0.00276454,0.00276454,24.674612,0.000106,0.000106,0.000106,,,,,,,,,,,,,0.83,0.411,0.411,0.411,4.555,0.3,0.3,0.3,5460,200,200,200,,,,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R
Kepler-246 b,0.0178911,0.01325,0.01325,0.01325,0.208761,0.107057,0.107057,0.107057,0.0541452,0.000902419,0.000902419,0.000902419,4.60182,0.000008,0.000008,0.000008,,,,,,,,,,,,,0.831,0.422,0.422,0.422,4.557,0.3,0.3,0.3,5206,200,200,200,,,,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R
Kepler-357 c,0.0218083,0.0177146,0.0177146,0.0177146,0.238201,0.140066,0.140066,0.140066,0.128672,0.00214453,0.00214453,0.00214453,16.85837,0.000081,0.000081,0.000081,,,,,,,,,,,,,0.834,0.487,0.487,0.487,4.503,0.3,0.3,0.3,5036,200,200,200,,,,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R
Kepler-248 c,0.0541479,0.0148732,0.0148732,0.0148732,0.363101,0.0437149,0.0437149,0.0437149,0.125503,0.00209172,0.00209172,0.00209172,16.239494,0.000024,0.000024,0.000024,,,,,,,,,,,,,0.831,0.099,0.099,0.099,4.573,0.2,0.2,0.2,5190,161,161,161,,,,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R
Kepler-248 b,0.0272098,0.00553563,0.00553563,0.00553563,0.269426,0.0321171,0.0321171,0.0321171,0.0668155,0.00111359,0.00111359,0.00111359,6.308205,0.00001,0.00001,0.00001,,,,,,,,,,,,,0.831,0.099,0.099,0.099,4.573,0.2,0.2,0.2,5190,161,161,161,,,,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R
OGLE-TR-111 b,0.55,0.1,0.1,0.1,1.051,0.057,0.053,0.055,0.0468733,0.00100862,0.00100862,0.00100862,4.0144479,0.0000041,0.0000041,0.0000041,0,,,,0.59,0.16,0.12999999999999998,0.145,0.852,0.055,0.055,0.055,0.831,0.045,0.04000000000000001,0.0425,4.529,0.038,0.042,0.04,5040,80,80,80,0.19,0.07,0.07,0.07,Torres 2008,http://adsabs.harvard.edu/abs/2008ApJ...677.1324T
HAT-P-3 b,0.595712,0.0248415,0.0248415,0.0248415,0.899,0.043,0.049,0.046,0.0388252,0.000683346,0.000683346,0.000683346,2.899703,0.000054,0.000054,0.000054,0,,,,1.02,0.19,0.14,0.165,0.928,0.044,0.054000000000000006,0.049,0.833,0.034,0.044,0.039,4.564,0.032,0.032,0.032,5185,80,80,80,0.27,0.08,0.08,0.08,Torres 2008,http://adsabs.harvard.edu/abs/2008ApJ...677.1324T
HAT-P-17 b,0.530158,0.0195219,0.0195219,0.0195219,1.01,0.029,0.029,0.029,0.0882385,0.00147064,0.00147064,0.00147064,10.338523,0.000009,0.000009,0.000009,0.346,0.007,0.007,0.007,0.64,0.05,0.05,0.05,0.857,0.039,0.039,0.039,0.837,0.021,0.021,0.021,4.53,0.02,0.02,0.02,5246,80,80,80,0,0.08,0.08,0.08,Howard 2012,http://adsabs.harvard.edu/abs/2012ApJ...749..134H
Kepler-112 c,0.0185304,0.00512635,0.00512635,0.00512635,0.214114,0.0517441,0.0517441,0.0517441,0.182918,0.00304863,0.00304863,0.00304863,28.574263,0.00006,0.00006,0.00006,,,,,,,,,,,,,0.841,0.203,0.203,0.203,4.506,0.15,0.15,0.15,5544,148,148,148,,,,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R
Kepler-171 b,0.0178911,0.0107781,0.0107781,0.0107781,0.208761,0.0936747,0.0936747,0.0936747,0.0506781,0.000844635,0.000844635,0.000844635,4.166972,0.000007,0.000007,0.000007,,,,,,,,,,,,,0.839,0.376,0.376,0.376,4.566,0.3,0.3,0.3,5642,200,200,200,,,,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R
Kepler-171 c,0.020389,0.0107872,0.0107872,0.0107872,0.228388,0.102596,0.102596,0.102596,0.0994986,0.00165831,0.00165831,0.00165831,11.463462,0.000026,0.000026,0.000026,,,,,,,,,,,,,0.839,0.376,0.376,0.376,4.566,0.3,0.3,0.3,5642,200,200,200,,,,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R
Kepler-112 b,0.0181008,0.00491001,0.00491001,0.00491001,0.210545,0.050852,0.050852,0.050852,0.080928,0.0013488,0.0013488,0.0013488,8.408878,0.00001,0.00001,0.00001,,,,,,,,,,,,,0.841,0.203,0.203,0.203,4.506,0.15,0.15,0.15,5544,148,148,148,,,,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R
Kepler-243 b,0.0190864,0.0119735,0.0119735,0.0119735,0.218574,0.103488,0.103488,0.103488,0.0625614,0.00104269,0.00104269,0.00104269,5.715442,0.000011,0.000011,0.000011,,,,,,,,,,,,,0.842,0.398,0.398,0.398,4.565,0.3,0.3,0.3,5228,200,200,200,,,,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R
Kepler-171 d,0.0139171,0.0111041,0.0111041,0.0111041,0.168615,0.0802926,0.0802926,0.0802926,0.227355,0.00378925,0.00378925,0.00378925,39.595519,0.000699,0.000699,0.000699,,,,,,,,,,,,,0.839,0.376,0.376,0.376,4.566,0.3,0.3,0.3,5642,200,200,200,,,,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R
Kepler-243 c,0.014692,0.011562,0.011562,0.011562,0.177536,0.0865376,0.0865376,0.0865376,0.144324,0.0024054,0.0024054,0.0024054,20.026218,0.000163,0.000163,0.000163,,,,,,,,,,,,,0.842,0.398,0.398,0.398,4.565,0.3,0.3,0.3,5228,200,200,200,,,,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R
WASP-57 b,0.675887,0.0523705,0.0523705,0.0523705,0.916,0.017,0.013999999999999999,0.0155,0.0386362,0.000643937,0.000643937,0.000643937,2.838971,0.000002,0.000002,0.000002,0,,,,0.11576,0.100776,0.09414600000000001,0.097461,0.954,0.027,0.027,0.027,0.836,0.07,0.16,0.115,4.574,0.009,0.012000000000000002,0.0105,5600,100,100,100,-0.25,0.1,0.1,0.1,Faedi 2013,http://adsabs.harvard.edu/abs/2013A%26A...551A..73F
Kepler-324 c,0.0296032,0.00565421,0.00565421,0.00565421,0.281024,0.0294406,0.0294406,0.0294406,0.271972,0.00453287,0.00453287,0.00453287,51.805612,0.000314,0.000314,0.000314,,,,,,,,,,,,,0.84,0.072,0.072,0.072,4.53,0.15,0.15,0.15,5194,100,100,100,,,,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R
Kepler-375 c,0.0215411,0.00903495,0.00903495,0.00903495,0.236417,0.0856455,0.0856455,0.0856455,0.144132,0.00240221,0.00240221,0.00240221,19.986326,0.000184,0.000184,0.000184,,,,,,,,,,,,,0.837,0.291,0.291,0.291,4.567,0.3,0.3,0.3,5826,200,200,200,,,,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R
Kepler-119 c,0.00216566,0.00175972,0.00175972,0.00175972,0.0820769,0.0312249,0.0312249,0.0312249,0.050338,0.000838968,0.000838968,0.000838968,4.125103,0.000028,0.000028,0.000028,,,,,,,,,,,,,0.839,0.319,0.319,0.319,4.567,0.3,0.3,0.3,5595,200,200,200,,,,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R
Kepler-375 b,0.010538,0.00820004,0.00820004,0.00820004,0.12936,0.0454992,0.0454992,0.0454992,0.103296,0.0017216,0.0017216,0.0017216,12.125934,0.000204,0.000204,0.000204,,,,,,,,,,,,,0.837,0.291,0.291,0.291,4.567,0.3,0.3,0.3,5826,200,200,200,,,,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R
WASP-2 b,0.908659,0.0350237,0.0350237,0.0350237,1.077,0.055,0.058,0.0565,0.0312729,0.000521215,0.000521215,0.000521215,2.1522254,0.0000015,0.0000014000000000000001,0.00000145,0,,,,0.92,0.27,0.19999999999999996,0.235,0.88,0.02,0.02,0.02,0.84,0.062,0.065,0.0635,4.537,0.035,0.046,0.0405,5200,200,200,200,0.1,0.2,0.2,0.2,Triaud 2010,http://adsabs.harvard.edu/abs/2010A%26A...524A..25T
Kepler-324 b,0.00464108,0.0013998,0.0013998,0.0013998,0.101704,0.00981354,0.00981354,0.00981354,0.0524333,0.000873888,0.000873888,0.000873888,4.385315,0.000025,0.000025,0.000025,,,,,,,,,,,,,0.84,0.072,0.072,0.072,4.53,0.15,0.15,0.15,5194,100,100,100,,,,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R
Kepler-373 b,0.00850717,0.00772072,0.00772072,0.00772072,0.121331,0.0597734,0.0597734,0.0597734,0.0612399,0.00102066,0.00102066,0.00102066,5.535309,0.000029,0.000029,0.000029,,,,,,,,,,,,,0.845,0.418,0.418,0.418,4.562,0.3,0.3,0.3,5787,200,200,200,,,,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R
Kepler-119 b,0.0397965,0.023003,0.023003,0.023003,0.321171,0.122223,0.122223,0.122223,0.0352966,0.000588276,0.000588276,0.000588276,2.422082,0.000001,0.000001,0.000001,,,,,,,,,,,,,0.839,0.319,0.319,0.319,4.567,0.3,0.3,0.3,5595,200,200,200,,,,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R
Kepler-373 c,0.00621274,0.00567027,0.00567027,0.00567027,0.110625,0.0553127,0.0553127,0.0553127,0.127997,0.00213329,0.00213329,0.00213329,16.725948,0.000227,0.000227,0.000227,,,,,,,,,,,,,0.845,0.418,0.418,0.418,4.562,0.3,0.3,0.3,5787,200,200,200,,,,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R
WASP-50 b,1.47244,0.0879343,0.0879343,0.0879343,1.153,0.048,0.048,0.048,0.0294714,0.000848017,0.000848017,0.000848017,1.9550959,0.0000051,0.0000051,0.0000051,0.009,0.011,0.006000000000000002,0.0085,1.27031,0.117351,0.117351,0.117351,0.892,0.08,0.074,0.077,0.843,0.031,0.031,0.031,4.537,0.022,0.022,0.022,5400,100,100,100,-0.12,0.08,0.08,0.08,Gillon 2011,http://adsabs.harvard.edu/abs/2011A%26A...533A..88G
Kepler-19 b,0.0165942,0.000443639,0.000443639,0.000443639,0.197074,0.00428227,0.00428227,0.00428227,0.0845828,0.00140971,0.00140971,0.00140971,9.2869944,0.0000088,0.0000088,0.0000088,0,,,,5.53257,2.7897,2.7897,2.7897,0.936,0.04,0.04,0.04,0.85,0.018,0.018,0.018,4.59,0.1,0.1,0.1,5541,60,60,60,-0.13,0.06,0.06,0.06,Ballard 2011,http://adsabs.harvard.edu/abs/2011ApJ...743..200B
Kepler-148 c,0.0397965,0.0262482,0.0262482,0.0262482,0.321171,0.157017,0.157017,0.157017,0.050784,0.0008464,0.0008464,0.0008464,4.180043,0.000004,0.000004,0.000004,,,,,,,,,,,,,0.851,0.413,0.413,0.413,4.546,0.3,0.3,0.3,5272,200,200,200,,,,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R
Kepler-242 b,0.0210192,0.0179975,0.0179975,0.0179975,0.232849,0.142742,0.142742,0.142742,0.0796077,0.0013268,0.0013268,0.0013268,8.20395,0.00002,0.00002,0.00002,,,,,,,,,,,,,0.85,0.522,0.522,0.522,4.492,0.3,0.3,0.3,5020,200,200,200,,,,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R
Kepler-148 b,0.0132614,0.0110109,0.0110109,0.0110109,0.160585,0.0776162,0.0776162,0.0776162,0.0281967,0.000469944,0.000469944,0.000469944,1.729366,0.000004,0.000004,0.000004,,,,,,,,,,,,,0.851,0.413,0.413,0.413,4.546,0.3,0.3,0.3,5272,200,200,200,,,,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R
Kepler-351 c,0.0303861,0.0182088,0.0182088,0.0182088,0.284593,0.138282,0.138282,0.138282,0.290701,0.00484502,0.00484502,0.00484502,57.24809,0.000599,0.000599,0.000599,,,,,,,,,,,,,0.854,0.414,0.414,0.414,4.556,0.3,0.3,0.3,5643,200,200,200,,,,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R
Kepler-242 c,0.0147725,0.013618,0.013618,0.013618,0.178428,0.109733,0.109733,0.109733,0.116354,0.00193923,0.00193923,0.00193923,14.496481,0.000083,0.000083,0.000083,,,,,,,,,,,,,0.85,0.522,0.522,0.522,4.492,0.3,0.3,0.3,5020,200,200,200,,,,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R
WASP-42 b,0.496968,0.0340244,0.0340244,0.0340244,1.063,0.051,0.051,0.051,0.0547344,0.00172922,0.00172922,0.00172922,4.9816877,0.0000068,0.0000073,0.00000705,0,,,,0.546312,0.0649739,0.0556919,0.0603329,0.881,0.086,0.08100000000000002,0.0835,0.85,0.035,0.035,0.035,4.5,0.1,0.1,0.1,5200,150,150,150,0.05,0.13,0.13,0.13,Lendl 2012,http://adsabs.harvard.edu/abs/2012A%26A...544A..72L
Kepler-351 b,0.0279223,0.015877,0.015877,0.015877,0.272995,0.138282,0.138282,0.138282,0.217522,0.00362537,0.00362537,0.00362537,37.054919,0.000484,0.000484,0.000484,,,,,,,,,,,,,0.854,0.414,0.414,0.414,4.556,0.3,0.3,0.3,5643,200,200,200,,,,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R
Kepler-286 e,0.0130508,0.0049582,0.0049582,0.0049582,0.157909,0.038362,0.038362,0.038362,0.185669,0.00309448,0.00309448,0.00309448,29.221289,0.00037,0.00037,0.00037,,,,,,,,,,,,,0.863,0.167,0.167,0.167,4.495,0.15,0.15,0.15,5580,131,131,131,,,,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R
Kepler-260 c,0.0128437,0.00729548,0.00729548,0.00729548,0.155232,0.0481756,0.0481756,0.0481756,0.351296,0.00585494,0.00585494,0.00585494,76.050178,0.001026,0.001026,0.001026,,,,,,,,,,,,,0.862,0.233,0.233,0.233,4.494,0.2,0.2,0.2,5250,257,257,257,,,,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R
Kepler-286 c,0.00871939,0.00462567,0.00462567,0.00462567,0.122223,0.0240878,0.0240878,0.0240878,0.0448402,0.000747336,0.000747336,0.000747336,3.468095,0.000023,0.000023,0.000023,,,,,,,,,,,,,0.863,0.167,0.167,0.167,4.495,0.15,0.15,0.15,5580,131,131,131,,,,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R
Kepler-286 d,0.00789025,0.00429959,0.00429959,0.00429959,0.118655,0.0240878,0.0240878,0.0240878,0.0640044,0.00106674,0.00106674,0.00106674,5.914323,0.000054,0.000054,0.000054,,,,,,,,,,,,,0.863,0.167,0.167,0.167,4.495,0.15,0.15,0.15,5580,131,131,131,,,,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R
Kepler-425 b,1,0,0,0,0.978,0.022,0.022,0.022,0.0464979,0.000833295,0.000833295,0.000833295,3.79701816,1.9e-7,1.9e-7,1.9e-7,0,0.33,0,0.165,0.27,0.07,0.07,0.07,0.93,0.05,0.05,0.05,0.86,0.02,0.02,0.02,4.532,0.01,0.01,0.01,5170,70,70,70,0.24,0.11,0.11,0.11,Hebrard 2014,http://adsabs.harvard.edu/abs/2014A%26A...572A..93H
Kepler-260 b,0.0148535,0.00407287,0.00407287,0.00407287,0.17932,0.0490677,0.0490677,0.0490677,0.0795006,0.00132501,0.00132501,0.00132501,8.187399,0.000022,0.000022,0.000022,,,,,,,,,,,,,0.862,0.233,0.233,0.233,4.494,0.2,0.2,0.2,5250,257,257,257,,,,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R
Kepler-286 b,0.00621274,0.00339988,0.00339988,0.00339988,0.110625,0.0223035,0.0223035,0.0223035,0.0289196,0.000481994,0.000481994,0.000481994,1.796302,0.000009,0.000009,0.000009,,,,,,,,,,,,,0.863,0.167,0.167,0.167,4.495,0.15,0.15,0.15,5580,131,131,131,,,,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R
TrES-5 b,1.7781,0.0800981,0.0800981,0.0800981,1.209,0.021,0.021,0.021,0.0245157,0.000408595,0.000408595,0.000408595,1.4822446,7e-7,7e-7,7e-7,0,,,,1.25,0.08,0.08,0.08,0.893,0.024,0.024,0.024,0.866,0.013,0.013,0.013,4.513,0.013,0.013,0.013,5171,36,36,36,0.2,0.08,0.08,0.08,Mandushev 2011,http://adsabs.harvard.edu/abs/2011ApJ...741..114M
Kepler-439 b,0.0168896,0.00263013,0.00263013,0.00263013,0.199841,0.0142744,0.0401466,0.0272105,0.594654,0.0099109,0.0099109,0.0099109,178.1396,0.0016,0.0017999999999999997,0.0017,0,,,,,,,,0.884,0.044,0.038000000000000006,0.041,0.866,0.076,0.04000000000000001,0.058,4.514,0.035,0.073,0.054,5431,100,100,100,0.02,0.1,0.1,0.1,Torres 2015,http://adsabs.harvard.edu/abs/2015ApJ...800...99T
Kepler-222 b,0.0297967,0.0168154,0.0168154,0.0168154,0.281916,0.1249,0.1249,0.1249,0.0487958,0.000813263,0.000813263,0.000813263,3.936981,0.000005,0.000005,0.000005,,,,,,,,,,,,,0.869,0.38,0.38,0.38,4.551,0.3,0.3,0.3,5433,200,200,200,,,,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R
WASP-6 b,0.52136,0.0204998,0.0204998,0.0204998,1.224,0.051,0.052,0.0515,0.0428704,0.000714507,0.000714507,0.000714507,3.361006,0.0000022,0.0000033999999999999996,0.0000028,0.054,0.018,0.016000000000000004,0.017,0.3591,0.067,0.067,0.067,0.93,0.02,0.02,0.02,0.87,0.025,0.036,0.0305,4.6,0.2,0.2,0.2,5450,100,100,100,-0.2,0.09,0.09,0.09,Gillon 2009,http://adsabs.harvard.edu/abs/2009A%26A...501..785G
Kepler-184 c,0.0145328,0.0128281,0.0128281,0.0128281,0.175752,0.0990276,0.0990276,0.0990276,0.145651,0.00242752,0.00242752,0.00242752,20.303005,0.000087,0.000087,0.000087,,,,,,,,,,,,,0.873,0.49,0.49,0.49,4.51,0.3,0.3,0.3,5788,200,200,200,,,,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R
Kepler-184 d,0.0195472,0.0157105,0.0157105,0.0157105,0.222143,0.125792,0.125792,0.125792,0.184825,0.00308042,0.00308042,0.00308042,29.022358,0.000176,0.000176,0.000176,,,,,,,,,,,,,0.873,0.49,0.49,0.49,4.51,0.3,0.3,0.3,5788,200,200,200,,,,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R
HAT-P-27 b,0.617485,0.0299545,0.0299545,0.0299545,1.02,0.07,0.06,0.065,0.0399488,0.000868452,0.000868452,0.000868452,3.039577,0.000005,0.000005999999999999999,0.0000055,0,,,,0.771559,0.152214,0.152214,0.152214,0.92,0.06,0.06,0.06,0.87,0.04,0.04,0.04,4.5,0.2,0.2,0.2,5190,160,170,165,0.14,0.11,0.11,0.11,Brown 2012,http://adsabs.harvard.edu/abs/2012ApJ...760..139B
CoRoT-7 b,0.014,0.0031,0.0031,0.0031,0.143989,0.009113,0.009113,0.009113,0.0171898,0.000286496,0.000286496,0.000286496,0.85359163,6e-9,6e-9,6e-9,0,,,,6.21,1.37,1.37,1.37,0.93,0.03,0.03,0.03,0.87,0.04,0.04,0.04,4.5,0.1,0.1,0.1,5275,75,75,75,0.05,0.04,0.04,0.04,Leger 2009,http://adsabs.harvard.edu/abs/2009A%26A...506..287L
Kepler-222 d,0.0422294,0.0269621,0.0269621,0.0269621,0.3292,0.145419,0.145419,0.145419,0.180811,0.00301351,0.00301351,0.00301351,28.081912,0.000069,0.000069,0.000069,,,,,,,,,,,,,0.869,0.38,0.38,0.38,4.551,0.3,0.3,0.3,5433,200,200,200,,,,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R
Kepler-184 b,0.0181008,0.0148596,0.0148596,0.0148596,0.210545,0.118655,0.118655,0.118655,0.0949568,0.00158261,0.00158261,0.00158261,10.687576,0.000025,0.000025,0.000025,,,,,,,,,,,,,0.873,0.49,0.49,0.49,4.51,0.3,0.3,0.3,5788,200,200,200,,,,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R
